,wall_time,step,value
0,1585332235.130427,12,281.0
1,1585332236.2930727,14,857.0
2,1585332237.780235,17,1625.0
3,1585332239.017594,19,2235.0
4,1585332239.8810372,20,2618.0
5,1585332240.8670342,22,3137.0
6,1585332244.78203,25,858.0
7,1585332246.0863907,27,1484.0
8,1585332246.601247,28,1748.0
9,1585332247.226413,29,2058.0
10,1585332249.730497,33,3229.0
11,1585332252.511273,34,283.0
12,1585332253.022063,35,544.0
13,1585332254.6412032,38,1368.0
14,1585332255.8646622,40,1967.0
15,1585332256.4338078,41,2252.0
16,1585332256.9431913,42,2510.0
17,1585332258.055894,44,3059.0
18,1585332262.7428987,49,1351.0
19,1585332263.967722,51,1963.0
20,1585332265.6175969,54,2780.0
21,1585332276.9079309,67,267.0
22,1585332277.8957036,69,786.0
23,1585332278.5797634,70,1097.0
24,1585332279.7372227,72,1660.0
25,1585332280.949983,74,2267.0
26,1585332281.4554842,75,2528.0
27,1585332281.9895847,76,2792.0
28,1585332284.9652555,78,271.0
29,1585332285.456599,79,518.0
30,1585332287.602275,83,1623.0
31,1585332288.7415369,85,2188.0
32,1585332289.3255007,86,2481.0
33,1585332290.2831018,88,2985.0
34,1585332290.926325,89,3289.0
35,1585332293.654788,90,260.0
36,1585332294.3502657,91,599.0
37,1585332295.0339973,92,933.0
38,1585332296.618732,95,1718.0
39,1585332297.594511,97,2229.0
40,1585332298.7665787,99,2780.0
41,1585332301.8408782,101,271.0
42,1585332302.8349183,103,805.0
43,1585332303.280282,104,1032.0
44,1585332303.8044748,105,1291.0
45,1585332304.3481686,106,1558.0
46,1585332304.8248968,107,1807.0
47,1585332305.3941867,108,2085.0
48,1585332306.5295064,110,2641.0
49,1585332307.554005,112,3158.0
50,1585332319.5326695,126,754.0
51,1585332320.8872294,128,1392.0
52,1585332321.379463,129,1643.0
53,1585332321.8799024,130,1899.0
54,1585332322.985478,132,2445.0
55,1585332323.491747,133,2702.0
56,1585332323.9975188,134,2952.0
57,1585332324.5318437,135,3239.0
58,1585332327.885682,137,552.0
59,1585332328.344724,138,798.0
60,1585332328.8459857,139,1065.0
61,1585332329.345708,140,1317.0
62,1585332329.88736,141,1596.0
63,1585332331.114775,143,2202.0
64,1585332332.2913759,145,2790.0
65,1585332336.7663822,149,825.0
66,1585332337.2995808,150,1093.0
67,1585332338.3479066,152,1643.0
68,1585332338.8553202,153,1909.0
69,1585332339.3269262,154,2170.0
70,1585332339.8715286,155,2451.0
71,1585332340.399956,156,2712.0
72,1585332341.122391,157,3066.0
73,1585332344.2577662,159,568.0
74,1585332345.3368201,161,1111.0
75,1585332345.8831894,162,1393.0
76,1585332347.5583854,165,2253.0
77,1585332348.3306775,166,2633.0
78,1585332349.5788732,168,3248.0
79,1585332361.4665682,181,609.0
80,1585332362.686361,183,1203.0
81,1585332363.347528,184,1511.0
82,1585332363.9168448,185,1791.0
83,1585332364.9513576,187,2328.0
84,1585332366.132139,189,2899.0
85,1585332366.6511,190,3166.0
86,1585332369.2808557,191,259.0
87,1585332370.8284762,194,1076.0
88,1585332371.92718,196,1650.0
89,1585332372.4360619,197,1929.0
90,1585332373.4382615,199,2437.0
91,1585332373.979383,200,2704.0
92,1585332374.5401068,201,2998.0
93,1585332377.8288925,203,290.0
94,1585332378.9093196,205,836.0
95,1585332379.4667952,206,1101.0
96,1585332380.0035195,207,1374.0
97,1585332381.246581,209,1982.0
98,1585332381.822854,210,2279.0
99,1585332383.0727715,212,2896.0
100,1585332387.4745398,216,888.0
101,1585332388.425287,218,1385.0
102,1585332389.4780402,220,1908.0
103,1585332390.147031,221,2221.0
104,1585332404.2408,237,923.0
105,1585332406.4999712,241,2097.0
106,1585332407.750655,243,2716.0
107,1585332408.5036848,244,3072.0
108,1585332411.1828687,245,280.0
109,1585332413.4186747,249,1391.0
110,1585332415.0682492,252,2244.0
111,1585332415.6692636,253,2556.0
112,1585332419.4587147,256,262.0
113,1585332420.135329,257,581.0
114,1585332420.6580818,258,851.0
115,1585332421.780993,260,1428.0
116,1585332422.3650794,261,1721.0
117,1585332423.574081,263,2343.0
118,1585332424.7101398,265,2916.0
119,1585332425.24913,266,3197.0
120,1585332427.9701734,267,249.0
121,1585332428.5003426,268,523.0
122,1585332428.9922154,269,780.0
123,1585332429.630111,270,1097.0
124,1585332430.153649,271,1373.0
125,1585332431.2662046,273,1946.0
126,1585332431.7654898,274,2210.0
127,1585332432.3797133,275,2521.0
128,1585332432.8873181,276,2783.0
129,1585332443.842539,288,285.0
130,1585332444.8578947,290,809.0
131,1585332446.005023,292,1387.0
132,1585332447.042867,294,1933.0
133,1585332447.9913983,296,2442.0
134,1585332448.4412465,297,2676.0
135,1585332451.6531115,299,259.0
136,1585332452.1959732,300,529.0
137,1585332452.751395,301,789.0
138,1585332453.725665,303,1314.0
139,1585332454.2284508,304,1577.0
140,1585332454.856774,305,1900.0
141,1585332455.9020734,307,2460.0
142,1585332456.4615927,308,2757.0
143,1585332459.7013059,310,341.0
144,1585332461.6444685,313,1331.0
145,1585332462.2278728,314,1638.0
146,1585332462.7617197,315,1916.0
147,1585332463.224329,316,2173.0
148,1585332463.757873,317,2452.0
149,1585332464.2313592,318,2715.0
150,1585332464.8837025,319,3052.0
151,1585332467.646394,320,360.0
152,1585332468.2043643,321,639.0
153,1585332468.6877239,322,896.0
154,1585332469.909102,324,1511.0
155,1585332470.4523225,325,1796.0
156,1585332471.6434538,327,2424.0
157,1585332483.5730157,341,261.0
158,1585332484.192101,342,603.0
159,1585332485.403094,344,1236.0
160,1585332486.5259938,346,1824.0
161,1585332487.094232,347,2140.0
162,1585332488.114568,349,2687.0
163,1585332488.5980697,350,2948.0
164,1585332489.1063454,351,3211.0
165,1585332492.3041964,353,533.0
166,1585332494.1856327,356,1484.0
167,1585332494.913117,357,1860.0
168,1585332496.667905,360,2792.0
169,1585332497.1878264,361,3061.0
170,1585332499.935701,362,379.0
171,1585332501.0554988,364,969.0
172,1585332502.4462092,367,1741.0
173,1585332503.4201224,368,2211.0
174,1585332503.8990045,369,2488.0
175,1585332504.4290051,370,2775.0
176,1585332508.451391,373,634.0
177,1585332509.6436274,375,1278.0
178,1585332510.759639,377,1862.0
179,1585332511.536119,378,2237.0
180,1585332512.095743,379,2519.0
181,1585332513.0503547,380,2973.0
182,1585332513.6126719,381,3270.0
183,1585332525.8241343,393,734.0
184,1585332526.285363,394,980.0
185,1585332526.8052528,395,1264.0
186,1585332529.0507743,398,2381.0
187,1585332529.6363628,399,2695.0
188,1585332530.308997,400,3057.0
189,1585332534.2753396,403,950.0
190,1585332534.8371987,404,1243.0
191,1585332536.1006207,406,1894.0
192,1585332536.6591744,407,2174.0
193,1585332537.9176826,409,2837.0
194,1585332538.6225584,410,3208.0
195,1585332541.4023323,411,307.0
196,1585332542.016651,412,624.0
197,1585332542.6215231,413,938.0
198,1585332543.2213597,414,1243.0
199,1585332543.7972426,415,1567.0
200,1585332544.4467251,416,1915.0
201,1585332545.7379553,418,2581.0
202,1585332546.2463176,419,2859.0
203,1585332547.0092685,420,3240.0
204,1585332550.49706,422,652.0
205,1585332551.8773746,424,1330.0
206,1585332552.500041,425,1620.0
207,1585332553.0658479,426,1937.0
208,1585332553.552338,427,2213.0
209,1585332554.0961137,428,2506.0
210,1585332554.7348583,429,2838.0
211,1585332566.1438828,441,352.0
212,1585332570.3543403,448,2545.0
213,1585332570.82839,449,2798.0
214,1585332574.162304,451,334.0
215,1585332574.6594505,452,600.0
216,1585332575.8155844,454,1202.0
217,1585332576.8956494,456,1795.0
218,1585332577.404204,457,2077.0
219,1585332578.62709,459,2702.0
220,1585332582.3694544,462,283.0
221,1585332583.3879561,464,828.0
222,1585332584.5359757,466,1432.0
223,1585332585.5398257,468,1977.0
224,1585332586.8613932,470,2631.0
225,1585332587.98659,472,3233.0
226,1585332591.2689624,474,592.0
227,1585332592.3339086,476,1157.0
228,1585332592.8759103,477,1437.0
229,1585332593.4557483,478,1735.0
230,1585332596.2699182,483,3211.0
231,1585332607.4614735,495,343.0
232,1585332608.0928135,496,689.0
233,1585332608.692036,497,1010.0
234,1585332609.1291575,498,1259.0
235,1585332609.5012085,499,1476.0
236,1585332610.7162447,501,2130.0
237,1585332611.3108873,502,2457.0
238,1585332612.3223119,504,3018.0
239,1585332614.9860334,505,275.0
240,1585332616.0127792,507,834.0
241,1585332616.5054936,508,1089.0
242,1585332618.5158262,511,2094.0
243,1585332618.935186,512,2342.0
244,1585332619.8931808,514,2871.0
245,1585332620.4246573,515,3155.0
246,1585332623.6328988,517,590.0
247,1585332624.1426036,518,882.0
248,1585332624.5289228,519,1111.0
249,1585332624.9828398,520,1370.0
250,1585332625.5921276,521,1691.0
251,1585332626.6676636,523,2261.0
252,1585332628.4157236,526,3208.0
253,1585332631.3397145,527,343.0
254,1585332631.9917736,528,675.0
255,1585332633.8342423,531,1654.0
256,1585332634.3330579,532,1923.0
257,1585332634.9858735,533,2260.0
