,wall_time,step,value
0,1585347569.8288214,12,295.0
1,1585347570.8863451,14,834.0
2,1585347572.5522895,17,1622.0
3,1585347573.935336,19,2283.0
4,1585347574.48501,20,2538.0
5,1585347575.8707318,22,3198.0
6,1585347579.9239962,25,923.0
7,1585347580.9697514,27,1469.0
8,1585347581.4753492,28,1738.0
9,1585347582.5550244,29,2215.0
10,1585347587.3608017,33,411.0
11,1585347588.0430362,34,722.0
12,1585347588.5991573,35,1003.0
13,1585347590.53175,38,1928.0
14,1585347591.8755195,40,2550.0
15,1585347592.3539488,41,2802.0
16,1585347592.9786875,42,3108.0
17,1585347596.3036318,44,586.0
18,1585347599.3912072,49,2101.0
19,1585347600.7531724,51,2701.0
20,1585347613.4717352,64,271.0
21,1585347614.9368846,66,940.0
22,1585347616.2224255,68,1566.0
23,1585347616.7917788,69,1842.0
24,1585347618.2979794,71,2527.0
25,1585347619.776575,73,3235.0
26,1585347622.6415322,74,328.0
27,1585347623.4535472,75,719.0
28,1585347624.695834,77,1319.0
29,1585347625.1743522,78,1578.0
30,1585347627.913181,82,2876.0
31,1585347631.3133478,84,386.0
32,1585347631.8154285,85,636.0
33,1585347632.87295,87,1176.0
34,1585347633.436631,88,1467.0
35,1585347634.0290108,89,1757.0
36,1585347634.8251297,90,2114.0
37,1585347635.320076,91,2379.0
38,1585347638.9753034,94,211.0
39,1585347640.1344059,96,800.0
40,1585347641.2593422,98,1337.0
41,1585347642.3617158,100,1900.0
42,1585347643.8727734,102,2632.0
43,1585347644.4441698,103,2914.0
44,1585347644.9386604,104,3172.0
45,1585347656.2883415,116,243.0
46,1585347656.8622181,117,538.0
47,1585347657.4107785,118,822.0
48,1585347658.4422998,120,1323.0
49,1585347659.454723,122,1853.0
50,1585347660.838601,125,2595.0
51,1585347661.8487375,127,3110.0
52,1585347664.5661552,128,299.0
53,1585347664.9692664,129,526.0
54,1585347666.078286,131,1075.0
55,1585347666.6582518,132,1369.0
56,1585347667.1609128,133,1636.0
57,1585347667.6474137,134,1879.0
58,1585347668.689952,136,2392.0
59,1585347669.3057067,137,2701.0
60,1585347669.9147875,138,3005.0
61,1585347672.4671013,139,264.0
62,1585347673.1271405,140,590.0
63,1585347674.9464152,144,1576.0
64,1585347677.1340191,148,2714.0
65,1585347677.595788,149,2964.0
66,1585347680.7322006,151,251.0
67,1585347681.3177395,152,548.0
68,1585347681.8322072,153,817.0
69,1585347682.2717557,154,1049.0
70,1585347683.2959774,155,1508.0
71,1585347683.7607052,156,1753.0
72,1585347684.6981955,158,2238.0
73,1585347685.8224063,160,2807.0
74,1585347686.391439,161,3098.0
75,1585347697.9654758,175,815.0
76,1585347698.415414,176,1050.0
77,1585347699.5223048,178,1618.0
78,1585347700.3745294,180,2094.0
79,1585347701.4094276,182,2627.0
80,1585347701.8418977,183,2873.0
81,1585347702.354214,184,3149.0
82,1585347705.4295344,186,531.0
83,1585347706.2899117,188,1010.0
84,1585347706.7984726,189,1242.0
85,1585347707.273898,190,1493.0
86,1585347708.8325107,193,2306.0
87,1585347709.8757277,195,2852.0
88,1585347710.2981186,196,3091.0
89,1585347713.387234,198,515.0
90,1585347713.9085677,199,793.0
91,1585347714.4395485,200,1078.0
92,1585347715.567538,202,1649.0
93,1585347716.310748,204,2083.0
94,1585347716.8392184,205,2357.0
95,1585347718.293371,208,3152.0
96,1585347720.928465,209,281.0
97,1585347721.8917725,211,808.0
98,1585347723.8703032,215,1899.0
99,1585347724.7808135,217,2384.0
100,1585347725.6597974,219,2867.0
101,1585347726.1508093,220,3119.0
102,1585347739.5546367,237,1652.0
103,1585347742.4226222,243,3221.0
104,1585347745.1641645,244,280.0
105,1585347745.6603842,245,541.0
106,1585347747.5236378,249,1552.0
107,1585347749.0699773,252,2362.0
108,1585347749.5841017,253,2635.0
109,1585347753.1391025,256,237.0
110,1585347753.6202755,257,507.0
111,1585347754.0584025,258,742.0
112,1585347755.1330407,260,1289.0
113,1585347755.6843345,261,1567.0
114,1585347756.6505687,263,2078.0
115,1585347757.5829408,265,2580.0
116,1585347758.0059626,266,2840.0
117,1585347758.541674,267,3117.0
118,1585347761.2487416,268,258.0
119,1585347761.761435,269,534.0
120,1585347762.285971,270,800.0
121,1585347762.7495906,271,1053.0
122,1585347763.6988058,273,1568.0
123,1585347764.26718,274,1848.0
124,1585347764.723746,275,2114.0
125,1585347765.191684,276,2368.0
126,1585347766.2745988,278,2935.0
127,1585347777.8806126,292,301.0
128,1585347779.085049,294,924.0
129,1585347780.3056703,296,1519.0
130,1585347781.1922169,298,1998.0
131,1585347781.679328,299,2252.0
132,1585347782.6107802,301,2744.0
133,1585347783.0744278,302,3002.0
134,1585347785.609663,303,224.0
135,1585347786.6483183,305,779.0
136,1585347787.28659,306,1096.0
137,1585347787.6793106,307,1316.0
138,1585347788.5404794,309,1794.0
139,1585347790.0520759,312,2577.0
140,1585347793.9700205,315,526.0
141,1585347795.2472048,317,1166.0
142,1585347795.774355,318,1431.0
143,1585347796.2461438,319,1684.0
144,1585347796.7440283,320,1935.0
145,1585347797.3003366,321,2222.0
146,1585347797.8121727,322,2493.0
147,1585347798.3223946,323,2761.0
148,1585347798.8295383,324,3016.0
149,1585347801.936551,326,544.0
150,1585347802.367513,327,782.0
151,1585347803.3916512,329,1318.0
152,1585347804.9154897,332,2141.0
153,1585347805.4943216,333,2452.0
154,1585347806.5072877,335,2984.0
155,1585347818.5578747,349,253.0
156,1585347818.9776974,350,487.0
