,wall_time,step,value
0,1585301569.0722032,14,278.0
1,1585301570.2205234,16,822.0
2,1585301571.6245835,19,1549.0
3,1585301572.691089,21,2054.0
4,1585301573.1573932,22,2293.0
5,1585301574.117364,24,2773.0
6,1585301577.6793277,27,505.0
7,1585301578.6262722,29,1000.0
8,1585301579.0775647,30,1238.0
9,1585301579.5720825,31,1490.0
10,1585301581.277497,35,2402.0
11,1585301581.831519,36,2685.0
12,1585301582.3245494,37,2948.0
13,1585301582.8220847,38,3189.0
14,1585301586.371476,40,553.0
15,1585301587.2497878,42,1020.0
16,1585301587.8007,43,1292.0
17,1585301588.2254982,44,1531.0
18,1585301589.0842493,46,1996.0
19,1585301591.2335403,51,3150.0
20,1585301594.4432664,53,528.0
21,1585301595.7324882,56,1228.0
22,1585301596.6803062,58,1728.0
23,1585301597.5975184,60,2200.0
24,1585301598.0084798,61,2421.0
25,1585301598.9448,63,2863.0
26,1585301599.3892817,64,3099.0
27,1585301610.6249523,79,247.0
28,1585301611.0483162,80,487.0
29,1585301611.47747,81,718.0
30,1585301611.8971243,82,940.0
31,1585301612.3466976,83,1182.0
32,1585301612.749009,84,1412.0
33,1585301614.521064,88,2348.0
34,1585301615.3477209,90,2799.0
35,1585301615.7493868,91,3022.0
36,1585301618.671714,93,478.0
37,1585301619.135781,94,719.0
38,1585301619.5790653,95,953.0
39,1585301620.1859968,96,1202.0
40,1585301620.6278684,97,1433.0
41,1585301621.9980175,100,2139.0
42,1585301622.8492389,102,2621.0
43,1585301623.7505577,104,3106.0
44,1585301626.4892335,105,250.0
45,1585301627.0312817,106,530.0
46,1585301628.0206327,108,1046.0
47,1585301628.4826431,109,1283.0
48,1585301628.9432058,110,1535.0
49,1585301629.446159,111,1805.0
50,1585301629.843879,112,2017.0
51,1585301630.3209136,113,2249.0
52,1585301631.3325665,115,2773.0
53,1585301634.2698698,117,239.0
54,1585301634.7167032,118,481.0
55,1585301635.7730386,120,1023.0
56,1585301636.7658195,122,1515.0
57,1585301637.1483123,123,1741.0
58,1585301637.6601095,124,1995.0
59,1585301638.5226474,126,2467.0
60,1585301638.9929402,127,2718.0
61,1585301639.4164567,128,2952.0
62,1585301639.936527,129,3227.0
63,1585301651.8018649,144,538.0
64,1585301652.2284904,145,792.0
65,1585301652.6684496,146,1037.0
66,1585301653.0411558,147,1256.0
67,1585301653.5911503,148,1544.0
68,1585301654.682868,150,2085.0
69,1585301655.6691737,152,2605.0
70,1585301656.5405293,154,3070.0
71,1585301659.412106,156,448.0
72,1585301659.8948507,157,708.0
73,1585301660.7783644,159,1197.0
74,1585301661.4177709,160,1517.0
75,1585301661.8130453,161,1734.0
76,1585301662.2383225,162,1973.0
77,1585301662.6652017,163,2202.0
78,1585301663.19205,164,2472.0
79,1585301664.1359808,166,2988.0
80,1585301667.5048327,168,331.0
81,1585301667.987027,169,592.0
82,1585301669.5625012,172,1402.0
83,1585301669.97663,173,1636.0
84,1585301670.9122715,175,2139.0
85,1585301671.3242857,176,2368.0
86,1585301671.7095573,177,2587.0
87,1585301672.6186714,179,3093.0
88,1585301675.2187428,180,233.0
89,1585301675.6651042,181,469.0
90,1585301676.5403044,183,964.0
91,1585301677.8116775,185,1540.0
92,1585301678.3164306,186,1810.0
93,1585301678.6921191,187,2039.0
94,1585301679.722042,189,2590.0
95,1585301680.2022433,190,2859.0
96,1585301691.4178994,205,277.0
97,1585301691.891566,206,538.0
98,1585301692.8680606,208,1038.0
99,1585301693.3204508,209,1291.0
100,1585301693.8770304,210,1578.0
101,1585301694.7308156,212,2056.0
102,1585301695.7817357,214,2624.0
103,1585301696.223223,215,2872.0
104,1585301696.8548307,216,3179.0
105,1585301699.9531572,218,531.0
106,1585301700.4513886,219,786.0
107,1585301701.338017,221,1274.0
108,1585301703.2320783,225,2281.0
109,1585301704.0601048,227,2743.0
110,1585301704.9828906,229,3235.0
111,1585301707.7487845,230,302.0
112,1585301710.5001006,236,1783.0
113,1585301712.4073,240,2799.0
114,1585301713.015753,241,3114.0
115,1585301715.5203233,242,220.0
116,1585301715.92257,243,448.0
117,1585301716.3685143,244,685.0
118,1585301717.3126004,246,1200.0
119,1585301718.2814302,248,1722.0
120,1585301719.7008653,251,2500.0
121,1585301720.1786304,252,2768.0
122,1585301731.9072487,268,251.0
123,1585301732.334278,269,492.0
124,1585301732.855342,270,777.0
125,1585301733.8892913,272,1346.0
126,1585301734.5133815,273,1667.0
127,1585301735.4602516,275,2179.0
128,1585301736.2767766,277,2645.0
129,1585301736.7305183,278,2899.0
130,1585301737.1490352,279,3131.0
131,1585301739.6920972,280,224.0
132,1585301740.0702817,281,445.0
133,1585301740.5860803,282,722.0
134,1585301740.9436958,283,941.0
135,1585301741.7614713,285,1419.0
136,1585301742.1235921,286,1653.0
137,1585301742.594507,287,1907.0
138,1585301743.1191201,288,2193.0
139,1585301743.5416439,289,2448.0
140,1585301743.9335272,290,2668.0
141,1585301744.8844273,292,3181.0
142,1585301747.8409975,294,470.0
143,1585301748.8885312,296,1045.0
144,1585301749.7719016,298,1525.0
145,1585301750.172023,299,1747.0
146,1585301751.0352936,301,2230.0
147,1585301751.440075,302,2457.0
148,1585301751.8713622,303,2698.0
149,1585301752.7597494,305,3190.0
150,1585301755.4355013,306,263.0
151,1585301755.8592691,307,514.0
152,1585301756.6609585,309,959.0
153,1585301757.0936663,310,1200.0
154,1585301757.9377189,312,1670.0
155,1585301759.334372,315,2420.0
156,1585301759.7669034,316,2677.0
157,1585301760.1546283,317,2905.0
158,1585301760.6791756,318,3178.0
159,1585301771.180589,331,245.0
160,1585301771.6601503,332,510.0
161,1585301772.163943,333,776.0
162,1585301772.7045963,334,1064.0
163,1585301773.1924717,335,1310.0
164,1585301773.5871959,336,1528.0
165,1585301774.5535276,338,2060.0
166,1585301774.9382463,339,2299.0
167,1585301775.75692,341,2785.0
168,1585301779.4082253,344,607.0
169,1585301779.8444989,345,847.0
170,1585301780.8257034,347,1378.0
171,1585301781.204383,348,1593.0
172,1585301781.7619815,349,1886.0
173,1585301782.30188,350,2179.0
174,1585301783.2493896,352,2706.0
175,1585301783.6761613,353,2936.0
176,1585301784.2038696,354,3210.0
177,1585301787.5158198,356,532.0
178,1585301788.5168757,358,1061.0
179,1585301789.1650615,359,1379.0
180,1585301789.6286914,360,1646.0
181,1585301790.0626202,361,1877.0
182,1585301791.0031793,363,2405.0
183,1585301791.5463655,364,2685.0
184,1585301792.0475326,365,2952.0
185,1585301795.1353788,367,236.0
186,1585301796.8303413,370,1105.0
187,1585301797.3476472,371,1379.0
188,1585301797.755158,372,1602.0
189,1585301798.1595128,373,1845.0
190,1585301799.5712104,376,2610.0
191,1585301800.4880478,378,3134.0
192,1585301810.9552653,392,463.0
193,1585301811.4673197,393,714.0
194,1585301811.8905606,394,939.0
195,1585301812.3070202,395,1177.0
196,1585301812.6892,396,1405.0
197,1585301813.641479,398,1925.0
198,1585301814.097232,399,2169.0
199,1585301814.6800883,400,2469.0
200,1585301815.0711699,401,2695.0
201,1585301815.9336276,403,3202.0
202,1585301818.5248954,404,225.0
203,1585301818.937921,405,461.0
204,1585301820.2834299,408,1213.0
205,1585301820.7632828,409,1463.0
206,1585301821.6106868,411,1964.0
207,1585301821.99813,412,2197.0
208,1585301823.019995,414,2721.0
209,1585301823.4872866,415,2982.0
210,1585301823.9485147,416,3242.0
211,1585301826.568268,417,240.0
212,1585301826.9925575,418,475.0
213,1585301827.3563159,419,694.0
214,1585301827.7820394,420,933.0
215,1585301828.1413023,421,1146.0
216,1585301828.4923065,422,1361.0
217,1585301829.0480025,423,1649.0
218,1585301829.4866695,424,1887.0
219,1585301829.9145842,425,2137.0
220,1585301830.374116,426,2386.0
221,1585301830.815019,427,2646.0
222,1585301831.7155192,429,3136.0
223,1585301834.301929,430,249.0
224,1585301834.792255,431,518.0
225,1585301835.269235,432,788.0
226,1585301835.7120824,433,1048.0
227,1585301836.10559,434,1288.0
228,1585301836.5036407,435,1516.0
229,1585301836.9404738,436,1756.0
230,1585301849.783141,455,495.0
231,1585301850.2152243,456,740.0
232,1585301851.058177,458,1233.0
233,1585301851.4383729,459,1448.0
234,1585301852.2943738,461,1917.0
235,1585301853.2350543,463,2442.0
236,1585301853.6662924,464,2683.0
237,1585301854.6470554,466,3215.0
238,1585301857.2987924,467,250.0
239,1585301857.7054572,468,492.0
240,1585301858.0913274,469,714.0
241,1585301858.9830608,471,1215.0
242,1585301859.897057,473,1733.0
243,1585301860.844714,475,2281.0
244,1585301861.70969,477,2787.0
245,1585301864.6150587,479,244.0
246,1585301865.5462542,481,733.0
247,1585301866.4803677,483,1249.0
248,1585301866.9250607,484,1491.0
249,1585301867.465933,485,1771.0
250,1585301869.582176,490,2982.0
251,1585301869.9893444,491,3229.0
252,1585301872.767275,492,294.0
253,1585301873.1233666,493,523.0
254,1585301873.5609307,494,783.0
255,1585301874.011734,495,1026.0
256,1585301874.415335,496,1256.0
257,1585301874.8548458,497,1510.0
258,1585301875.3110955,498,1757.0
259,1585301876.3148735,500,2294.0
260,1585301876.7649639,501,2550.0
261,1585301877.6827722,503,3069.0
262,1585301887.7203913,516,240.0
263,1585301888.4670305,518,696.0
264,1585301888.856127,519,927.0
265,1585301889.2950044,520,1176.0
266,1585301890.3064015,522,1755.0
267,1585301890.7403603,523,2007.0
268,1585301891.69697,525,2508.0
269,1585301892.012876,526,2714.0
270,1585301892.432724,527,2960.0
271,1585301892.8724835,528,3212.0
272,1585301895.6179051,529,273.0
273,1585301896.4929307,531,789.0
274,1585301896.959441,532,1038.0
275,1585301897.3972619,533,1282.0
276,1585301897.936353,534,1564.0
277,1585301898.33811,535,1800.0
278,1585301898.8139853,536,2079.0
279,1585301899.9340563,538,2694.0
280,1585301900.3903873,539,2954.0
281,1585301900.9050741,540,3247.0
282,1585301903.7313619,541,305.0
283,1585301904.1352398,542,541.0
284,1585301904.9715593,544,1008.0
285,1585301905.8062963,546,1464.0
286,1585301906.7112577,548,1964.0
287,1585301907.1001537,549,2195.0
288,1585301908.3084044,551,2818.0
289,1585301911.251645,553,224.0
290,1585301913.2621624,557,1339.0
291,1585301913.6274207,558,1554.0
292,1585301914.046669,559,1799.0
293,1585301914.505082,560,2055.0
294,1585301915.0417705,561,2344.0
295,1585301916.4926393,564,3155.0
296,1585301926.997338,577,242.0
297,1585301928.3149493,580,965.0
298,1585301928.6968713,581,1192.0
299,1585301929.5454006,583,1665.0
300,1585301930.445612,585,2171.0
301,1585301932.4692729,589,3300.0
302,1585301935.1677396,590,266.0
303,1585301935.6765668,591,547.0
304,1585301936.251555,592,851.0
305,1585301936.6085422,593,1074.0
306,1585301937.0440996,594,1320.0
307,1585301937.6366293,595,1629.0
308,1585301938.1752555,596,1912.0
309,1585301939.1109602,598,2430.0
310,1585301943.6935678,603,783.0
311,1585301944.2105274,604,1030.0
312,1585301945.0558367,606,1538.0
313,1585301945.5163748,607,1794.0
314,1585301946.9275322,610,2565.0
315,1585301947.3109055,611,2777.0
316,1585301947.8062105,612,3052.0
317,1585301951.1835835,615,734.0
318,1585301951.9714072,617,1199.0
319,1585301952.9047108,619,1732.0
320,1585301953.3489342,620,1988.0
321,1585301953.8741412,621,2267.0
322,1585301954.220619,622,2483.0
323,1585301954.6417894,623,2725.0
324,1585301965.8707814,638,308.0
325,1585301967.6771398,642,1338.0
326,1585301968.2537222,643,1651.0
327,1585301968.6364472,644,1890.0
328,1585301969.3989382,646,2361.0
329,1585301969.9026458,647,2636.0
330,1585301970.8123083,649,3153.0
331,1585301973.5249403,650,264.0
332,1585301974.0745146,651,556.0
333,1585301974.6213512,652,836.0
334,1585301975.1976054,653,1134.0
335,1585301976.2087736,655,1680.0
336,1585301976.5756109,656,1891.0
337,1585301978.181845,659,2731.0
338,1585301978.570045,660,2950.0
339,1585301979.0210752,661,3210.0
340,1585301981.7366638,662,270.0
341,1585301983.0212586,665,1015.0
342,1585301983.4522748,666,1271.0
343,1585301984.7503211,669,2024.0
344,1585301985.2528276,670,2304.0
345,1585301985.668283,671,2547.0
346,1585301989.9564557,676,792.0
347,1585301990.386893,677,1031.0
348,1585301990.7417657,678,1248.0
349,1585301991.2104487,679,1516.0
350,1585301992.6232653,682,2331.0
351,1585301993.0440285,683,2575.0
352,1585301993.4714704,684,2814.0
353,1585301993.9020002,685,3064.0
354,1585302004.6107855,697,217.0
355,1585302005.0332665,698,472.0
356,1585302005.4872584,699,726.0
357,1585302005.8968363,700,970.0
358,1585302006.3280206,701,1218.0
359,1585302006.7975695,702,1473.0
360,1585302007.2827857,703,1742.0
361,1585302007.757268,704,2000.0
362,1585302008.2652588,705,2271.0
363,1585302008.7155824,706,2526.0
364,1585302009.756204,708,3088.0
365,1585302012.54634,709,247.0
366,1585302013.113789,710,554.0
367,1585302013.5567837,711,811.0
368,1585302014.846243,714,1575.0
369,1585302016.3142686,717,2400.0
370,1585302016.7640119,718,2650.0
371,1585302017.175423,719,2892.0
372,1585302020.1789422,721,268.0
373,1585302021.6227424,724,1103.0
374,1585302022.0619738,725,1373.0
375,1585302022.91193,727,1864.0
376,1585302023.392267,728,2125.0
377,1585302023.872953,729,2396.0
378,1585302024.3930833,730,2684.0
379,1585302024.8455014,731,2932.0
380,1585302028.11882,733,261.0
381,1585302028.9332325,735,749.0
382,1585302029.3148081,736,987.0
383,1585302029.685089,737,1216.0
384,1585302030.602237,739,1737.0
385,1585302031.062443,740,2006.0
386,1585302031.430332,741,2231.0
387,1585302033.1057105,745,3232.0
388,1585302043.6944768,758,246.0
389,1585302044.2050307,759,519.0
390,1585302044.6867218,760,774.0
391,1585302045.7963607,762,1367.0
392,1585302048.3686595,768,2831.0
393,1585302048.8260422,769,3087.0
394,1585302051.4249444,770,261.0
395,1585302051.8115838,771,484.0
396,1585302052.7075832,773,1002.0
397,1585302053.1870236,774,1253.0
398,1585302054.0087166,776,1737.0
399,1585302054.4168937,777,1976.0
400,1585302054.825079,778,2220.0
401,1585302055.544631,780,2665.0
402,1585302056.3964083,782,3167.0
403,1585302058.9724643,783,251.0
404,1585302059.4083328,784,495.0
405,1585302059.819433,785,738.0
406,1585302060.3388045,786,1018.0
407,1585302060.8028383,787,1280.0
408,1585302061.6660094,789,1794.0
409,1585302062.6003325,791,2306.0
410,1585302063.2366447,792,2640.0
411,1585302063.6999257,793,2903.0
412,1585302064.171239,794,3168.0
413,1585302066.7205803,795,241.0
414,1585302067.2482836,796,526.0
415,1585302069.1218147,800,1591.0
416,1585302071.1846986,805,2786.0
417,1585302081.9105585,819,257.0
418,1585302082.3054163,820,494.0
419,1585302083.0478628,822,944.0
420,1585302084.2114573,824,1589.0
421,1585302085.2720008,826,2206.0
422,1585302085.6823962,827,2439.0
423,1585302086.9727054,829,3153.0
424,1585302090.0221705,831,536.0
425,1585302090.4332368,832,769.0
426,1585302092.0507507,835,1647.0
427,1585302093.4632108,838,2431.0
428,1585302094.5256836,840,3031.0
429,1585302096.9881215,841,223.0
430,1585302097.442635,842,477.0
431,1585302097.9217343,843,735.0
432,1585302098.3174176,844,973.0
433,1585302098.7372692,845,1207.0
434,1585302099.2266574,846,1472.0
435,1585302101.2302108,851,2663.0
436,1585302101.6606395,852,2912.0
437,1585302102.1802673,853,3203.0
438,1585302104.8674896,854,247.0
439,1585302105.317877,855,513.0
440,1585302107.0051863,859,1461.0
441,1585302107.4908736,860,1727.0
442,1585302108.0051305,861,2009.0
443,1585302109.1864445,864,2708.0
444,1585302109.5850577,865,2944.0
445,1585302109.9672568,866,3177.0
446,1585302120.5858788,880,225.0
447,1585302121.0167298,881,482.0
448,1585302121.445266,882,733.0
449,1585302122.7430587,885,1504.0
450,1585302123.1967902,886,1759.0
451,1585302123.6393259,887,2024.0
452,1585302125.3213677,891,3025.0
453,1585302128.262184,893,542.0
454,1585302128.8066325,894,819.0
455,1585302129.3006656,895,1080.0
456,1585302129.7045162,896,1311.0
457,1585302130.1880312,897,1573.0
458,1585302130.6622157,898,1835.0
459,1585302131.533277,900,2338.0
460,1585302132.6326046,902,2908.0
461,1585302138.710408,910,1855.0
462,1585302139.094129,911,2100.0
463,1585302139.9370697,913,2603.0
464,1585302140.4226701,914,2871.0
465,1585302140.854072,915,3109.0
466,1585302144.8687987,919,1071.0
467,1585302145.2830763,920,1317.0
468,1585302146.1159046,922,1807.0
469,1585302146.5389183,923,2047.0
470,1585302146.9596903,924,2294.0
471,1585302147.8715162,926,2843.0
472,1585302148.2639625,927,3078.0
473,1585302160.506207,943,1301.0
474,1585302161.392951,945,1814.0
475,1585302162.5074346,947,2442.0
476,1585302162.8952758,948,2675.0
477,1585302163.453225,949,2981.0
478,1585302163.8820443,950,3245.0
479,1585302166.4419627,951,213.0
480,1585302166.8855593,952,463.0
481,1585302167.2637806,953,695.0
482,1585302167.7160141,954,948.0
483,1585302168.671035,956,1487.0
484,1585302169.4815507,958,1965.0
485,1585302170.1238565,959,2302.0
486,1585302170.7261744,960,2628.0
487,1585302174.6632185,964,494.0
488,1585302175.0910416,965,741.0
489,1585302175.970588,967,1243.0
490,1585302176.910136,969,1751.0
491,1585302177.3952017,970,2026.0
492,1585302178.2324924,972,2508.0
493,1585302182.4022605,975,228.0
494,1585302183.1493785,977,706.0
495,1585302184.079505,979,1233.0
496,1585302184.8110964,980,1583.0
497,1585302185.216443,981,1824.0
498,1585302186.0454159,983,2310.0
499,1585302186.4380622,984,2543.0
500,1585302197.9158957,1000,555.0
501,1585302198.3420177,1001,809.0
502,1585302199.0046048,1002,1185.0
503,1585302200.1057456,1004,1796.0
504,1585302200.6226242,1005,2095.0
505,1585302201.05183,1006,2352.0
506,1585302202.4670892,1009,3172.0
507,1585302205.1214805,1010,288.0
508,1585302205.5559108,1011,531.0
509,1585302206.3536904,1013,1003.0
510,1585302206.8285742,1014,1286.0
511,1585302207.2268913,1015,1520.0
512,1585302208.062838,1017,2007.0
513,1585302208.472106,1018,2250.0
514,1585302209.124526,1019,2598.0
515,1585302212.7796166,1022,230.0
516,1585302213.204334,1023,478.0
517,1585302213.9535992,1024,839.0
518,1585302214.6026042,1025,1191.0
519,1585302215.3990781,1026,1591.0
520,1585302216.1203659,1028,2042.0
