,wall_time,step,value
0,1582988590.9230616,674,-3.76531720161438
1,1582988595.901809,1328,-2.0565755367279053
2,1582988600.8378441,1907,2.99546217918396
3,1582988605.841869,2426,5.0660881996154785
4,1582988610.7845201,2855,5.460716724395752
5,1582988615.7195687,3202,17.00095558166504
6,1582988620.6038933,3494,58.0033073425293
7,1582988625.4815493,3727,80.3761978149414
8,1582988630.356099,3912,100.83277130126953
9,1582988635.2459354,4065,22.07085418701172
10,1582988640.1577022,4192,11.66512680053711
11,1582988645.1092565,4288,467.6153869628906
12,1582988649.999235,4385,18.207372665405273
13,1582988654.9215975,4476,136.31417846679688
14,1582988659.8576233,4558,150.47158813476562
15,1582988664.7270205,4628,4.696749687194824
16,1582988669.750592,4686,470.9467468261719
17,1582988674.6763268,4750,228.2317352294922
18,1582988679.6096382,4820,-17.1496524810791
19,1582988684.5917602,4890,231.74305725097656
20,1582988689.595196,4955,405.0330505371094
21,1582988694.508398,5011,239.46005249023438
22,1582988699.4365115,5063,221.4118194580078
23,1582988704.3520288,5123,186.5661163330078
24,1582988709.2325826,5174,178.97752380371094
25,1582988714.244746,5228,143.51080322265625
26,1582988719.1760287,5281,263.1100769042969
27,1582988724.169773,5333,432.2183532714844
28,1582988729.1179798,5386,209.71524047851562
29,1582988734.0275373,5433,139.1372833251953
30,1582988738.9827085,5484,422.75140380859375
31,1582988743.928339,5527,779.9229736328125
32,1582988748.923244,5576,231.74533081054688
33,1582988753.9540756,5632,465.03900146484375
34,1582988758.8704767,5679,372.0662841796875
35,1582988763.8494694,5733,258.20721435546875
36,1582988768.8118622,5778,341.9683532714844
37,1582988773.8503604,5821,556.104248046875
38,1582988778.873615,5867,357.98773193359375
39,1582988783.8922596,5913,355.3302307128906
40,1582988788.8599558,5965,451.8113708496094
41,1582988793.7786672,6013,456.26690673828125
42,1582988798.72783,6060,189.85128784179688
43,1582988803.694588,6108,323.2102355957031
44,1582988808.7346957,6162,471.8194580078125
45,1582988813.687741,6215,325.2654113769531
46,1582988818.6887767,6260,748.6866455078125
47,1582988823.696321,6314,383.457275390625
48,1582988828.633886,6356,258.80865478515625
49,1582988833.5939145,6404,358.7433166503906
50,1582988838.5357318,6447,260.78094482421875
51,1582988843.4554973,6495,257.2011413574219
52,1582988848.417977,6542,308.9305419921875
53,1582988853.4579043,6595,350.06817626953125
54,1582988858.4105415,6645,286.9002685546875
55,1582988863.362189,6691,440.75244140625
56,1582988868.2985885,6741,277.2329406738281
57,1582988873.3360288,6787,636.06884765625
58,1582988878.2849526,6828,116.0931625366211
59,1582988883.1915374,6870,332.20111083984375
60,1582988888.1439474,6913,265.4654235839844
61,1582988893.138143,6959,84.48001098632812
62,1582988898.2964478,7007,642.696533203125
63,1582988903.3202326,7045,395.2449035644531
64,1582988908.2975144,7088,525.9789428710938
65,1582988913.2562535,7135,303.0420837402344
66,1582988918.259917,7171,245.11842346191406
67,1582988923.2245967,7217,344.1460266113281
68,1582988928.181736,7264,56.00226974487305
69,1582988933.2300704,7310,479.4804382324219
70,1582988938.4998124,7356,982.3798828125
71,1582988943.4103909,7404,424.5848388671875
72,1582988948.4010835,7449,475.20025634765625
73,1582988953.3627064,7488,215.3697967529297
74,1582988958.2803135,7525,408.36700439453125
75,1582988963.2276835,7565,351.40692138671875
76,1582988968.2022405,7600,283.13616943359375
77,1582988973.3410757,7644,914.0120849609375
78,1582988978.3066285,7686,369.99566650390625
79,1582988983.5343056,7724,759.0911254882812
80,1582988988.8375847,7767,969.6629638671875
81,1582988993.8873234,7805,651.5681762695312
82,1582988998.9225464,7850,366.9737854003906
83,1582989003.8911023,7885,593.5077514648438
84,1582989008.8901062,7928,310.2602233886719
85,1582989013.8831997,7970,380.3370056152344
86,1582989018.8312874,8016,378.3747253417969
87,1582989023.751145,8058,609.1529541015625
88,1582989028.764757,8100,467.5510559082031
89,1582989033.8781192,8145,471.0883483886719
90,1582989038.8371532,8189,488.6134033203125
91,1582989043.795605,8235,315.3603210449219
92,1582989048.7501636,8279,575.9236450195312
93,1582989053.7061226,8321,483.9051513671875
94,1582989058.6816297,8366,468.3558349609375
95,1582989063.7577267,8410,533.7854614257812
96,1582989068.7198956,8457,314.0171813964844
97,1582989073.711696,8503,279.26092529296875
98,1582989078.7296095,8548,399.568359375
99,1582989083.8367224,8587,999.224853515625
100,1582989088.773714,8627,79.47793579101562
101,1582989093.7386434,8667,234.77053833007812
102,1582989098.7414732,8711,364.0865783691406
103,1582989103.816369,8756,180.44955444335938
104,1582989108.7678123,8800,345.2453308105469
105,1582989113.808807,8842,867.7464599609375
106,1582989118.8542366,8886,593.5947265625
107,1582989123.79876,8931,294.20068359375
108,1582989128.7772555,8974,466.2590026855469
109,1582989133.8837357,9014,508.73406982421875
110,1582989138.8780835,9061,339.5303039550781
111,1582989143.8420734,9104,353.3127136230469
112,1582989148.8256125,9144,311.2815856933594
113,1582989153.8249352,9191,615.4957275390625
114,1582989158.7848577,9234,285.3252868652344
115,1582989163.7092693,9278,309.7341003417969
116,1582989168.6117427,9319,230.26788330078125
117,1582989173.5226912,9363,555.7680053710938
118,1582989178.5734005,9403,380.6709899902344
119,1582989183.5716548,9449,46.028167724609375
120,1582989188.510543,9494,310.83026123046875
121,1582989193.5187461,9543,401.3135681152344
122,1582989198.557454,9585,517.8115844726562
123,1582989203.5040164,9630,459.4154968261719
124,1582989208.4211237,9670,236.3818359375
125,1582989213.4716027,9712,408.943359375
126,1582989218.3925314,9756,305.4162902832031
127,1582989223.4596975,9798,711.6485595703125
128,1582989228.4636412,9842,616.6878051757812
129,1582989233.4265451,9892,231.8769073486328
130,1582989238.4171848,9941,266.04901123046875
131,1582989243.3682897,9984,278.2611999511719
132,1582989248.277553,10029,281.4626770019531
133,1582989253.2714267,10075,455.0241394042969
134,1582989258.2332337,10117,392.2513732910156
135,1582989263.2221773,10165,257.3551025390625
136,1582989268.1898713,10210,320.4853210449219
137,1582989273.161186,10256,239.192138671875
138,1582989278.1318498,10293,418.7646179199219
139,1582989283.1284738,10336,305.86895751953125
140,1582989288.1545029,10379,129.3448486328125
141,1582989293.295026,10424,674.9301147460938
142,1582989298.2580261,10467,286.6097106933594
143,1582989303.2795784,10507,481.9966125488281
144,1582989308.241239,10548,298.1995849609375
145,1582989313.3299024,10593,642.7539672851562
146,1582989318.283429,10640,379.7555847167969
147,1582989323.5122423,10682,927.6670532226562
148,1582989328.5162566,10726,430.9792175292969
149,1582989333.64314,10771,628.3125
150,1582989338.575931,10812,269.520751953125
151,1582989343.550518,10859,246.2790985107422
152,1582989348.5334377,10905,345.0212097167969
153,1582989353.552077,10947,574.538818359375
